x= 0.000000   y= 0.000000
x= 0.050000   y= 0.049979
x= 0.100000   y= 0.099833
x= 0.150000   y= 0.149438
x= 0.200000   y= 0.198669
x= 0.250000   y= 0.247404
x= 0.300000   y= 0.295520
x= 0.350000   y= 0.342898
x= 0.400000   y= 0.389418
x= 0.450000   y= 0.434966
x= 0.500000   y= 0.479426
x= 0.550000   y= 0.522687
x= 0.600000   y= 0.564642
x= 0.650000   y= 0.605186
x= 0.700000   y= 0.644218
x= 0.750000   y= 0.681639
x= 0.800000   y= 0.717356
x= 0.850000   y= 0.751280
x= 0.900000   y= 0.783327
x= 0.950000   y= 0.813416
x= 1.000000   y= 0.841471
x= 1.050000   y= 0.867423
x= 1.100000   y= 0.891207
x= 1.150000   y= 0.912764
x= 1.200000   y= 0.932039
x= 1.250000   y= 0.948985
x= 1.300000   y= 0.963558
x= 1.350000   y= 0.975723
x= 1.400000   y= 0.985450
x= 1.450000   y= 0.992713
x= 1.500000   y= 0.997495
x= 1.550000   y= 0.999784
x= 1.600000   y= 0.999574
x= 1.650000   y= 0.996865
x= 1.700000   y= 0.991665
x= 1.750000   y= 0.983986
x= 1.800000   y= 0.973848
x= 1.850000   y= 0.961275
x= 1.900000   y= 0.946300
x= 1.950000   y= 0.928960
x= 2.000000   y= 0.909297
x= 2.050000   y= 0.887362
x= 2.100000   y= 0.863209
x= 2.150000   y= 0.836899
x= 2.200000   y= 0.808496
x= 2.250000   y= 0.778073
x= 2.300000   y= 0.745705
x= 2.350000   y= 0.711473
x= 2.400000   y= 0.675463
x= 2.450000   y= 0.637765
x= 2.500000   y= 0.598472
x= 2.550000   y= 0.557684
x= 2.600000   y= 0.515501
x= 2.650000   y= 0.472031
x= 2.700000   y= 0.427380
x= 2.750000   y= 0.381661
x= 2.800000   y= 0.334988
x= 2.850000   y= 0.287478
x= 2.900000   y= 0.239249
x= 2.950000   y= 0.190423
x= 3.000000   y= 0.141120
x= 3.050000   y= 0.091465
x= 3.100000   y= 0.041581
x= 3.150000   y= -0.008407
x= 3.200000   y= -0.058374
x= 3.250000   y= -0.108195
x= 3.300000   y= -0.157746
x= 3.350000   y= -0.206902
x= 3.400000   y= -0.255541
x= 3.450000   y= -0.303542
x= 3.500000   y= -0.350783
x= 3.550000   y= -0.397148
x= 3.600000   y= -0.442520
x= 3.650000   y= -0.486787
x= 3.700000   y= -0.529836
x= 3.750000   y= -0.571561
x= 3.800000   y= -0.611858
x= 3.850000   y= -0.650625
x= 3.900000   y= -0.687766
x= 3.950000   y= -0.723188
x= 4.000000   y= -0.756802
x= 4.050000   y= -0.788525
x= 4.100000   y= -0.818277
x= 4.150000   y= -0.845984
x= 4.200000   y= -0.871576
x= 4.250000   y= -0.894989
x= 4.300000   y= -0.916166
x= 4.350000   y= -0.935053
x= 4.400000   y= -0.951602
x= 4.450000   y= -0.965773
x= 4.500000   y= -0.977530
x= 4.550000   y= -0.986844
x= 4.600000   y= -0.993691
x= 4.650000   y= -0.998054
x= 4.700000   y= -0.999923
x= 4.750000   y= -0.999293
x= 4.800000   y= -0.996165
x= 4.850000   y= -0.990547
x= 4.900000   y= -0.982453
x= 4.950000   y= -0.971903
